,Px,Py,Vx,Vy,t,p1,p2,p3,p4
0,368.18931566716645,6.5966106132139,-0.0990697000865573,6.361599147637872,1,30.0,30.0,0.3,0.3
1,368.6432818227316,12.851944911114982,-0.29402591970896796,6.395769814607434,2,17.203918076580578,17.203918076580578,0.18699910952804985,0.18699910952804985
2,370.9116365150684,19.393044898376534,-0.4746830347922154,6.340649047057198,3,12.096275947166882,12.096275947166882,0.1357754748855529,0.1357754748855529
3,369.24732988829413,25.718531547390313,-0.6862891883339958,6.349241902410193,4,9.350452982128125,9.350452982128125,0.10656100818544752,0.10656100818544752
4,368.7620337698991,32.08003846667696,-0.8902169604178563,6.373408752748393,5,7.636423233697984,7.636423233697984,0.08768423350360267,0.08768423350360267
5,368.19713272919535,38.67888853571898,-1.1212447244638883,6.641352156676786,6,6.464773929696627,6.464773929696627,0.07448483766988596,0.07448483766988596
6,367.18507155639605,44.917836332923955,-1.2054075325595237,5.760719571430455,7,5.613288086366245,5.613288086366245,0.06473718414439494,0.06473718414439494
7,365.62311945185127,50.935975779185654,-1.4795562565751692,6.243781631107973,8,4.966524423424653,4.966524423424653,0.05724427341224778,0.05724427341224778
8,363.55787381594854,57.0958383648908,-1.6374155193583575,6.081493638537603,9,4.458572666980317,4.458572666980317,0.051305112119372116,0.051305112119372116
9,360.7813874461858,63.3138103560752,-1.8841751320780329,6.152589666294626,10,4.049066676567122,4.049066676567122,0.0464819488411754,0.0464819488411754
10,358.6155288112933,69.6649610109764,-1.9710714567166223,6.344460309737905,11,3.7119047493401878,3.7119047493401878,0.042487327337032234,0.042487327337032234
11,356.4243905735434,75.80971661405151,-2.247470433598474,5.773620546019913,12,3.4294612346176656,3.4294612346176656,0.039124691558880244,0.039124691558880244
12,353.87646747052696,81.61128538983915,-2.3442111244609105,6.009922544581558,13,3.189404887366138,3.189404887366138,0.036255091557381165,0.036255091557381165
13,351.6160874274828,87.68330846326977,-2.392195313289895,5.952884998479177,14,2.9828501247510584,2.9828501247510584,0.03377752284790351,0.03377752284790351
14,348.7387442616426,93.61467607720769,-2.5628973216086917,5.8189748204497205,15,2.8032322938074232,2.8032322938074232,0.03161680264089275,0.03161680264089275
15,345.98273750051976,99.1709542199035,-2.6835828781245823,5.449049011755818,16,2.6455964509683256,2.6455964509683256,0.029715814814238437,0.029715814814238437
16,343.0143687935104,104.76210628832331,-3.0510076688614496,5.6462651393454,17,2.506132542305849,2.506132542305849,0.028030391172436577,0.028030391172436577
17,339.8034144334917,110.36143180855456,-2.916497294584797,5.605580811081485,18,2.381862837289547,2.381862837289547,0.026525839562738324,0.026525839562738324
18,336.6339198622536,115.98423113658907,-3.2009511000256405,5.643093552964807,19,2.270426449856943,2.270426449856943,0.025174532194154938,0.025174532194154938
19,333.28966798046287,121.262890141808,-3.3805334348016842,5.167155657163382,20,2.169927498753095,2.169927498753095,0.023954194763748948,0.023954194763748948
20,330.01383702164406,126.52405618234364,-3.3956509421902146,5.331550044728725,21,2.078826010017925,2.078826010017925,0.022846669791541003,0.022846669791541003
21,326.53583317425523,131.50840199185154,-3.814899486522151,4.896947800284725,22,1.9958581548234706,1.9958581548234706,0.0218370075994843,0.0218370075994843
22,322.91921432980234,136.65507294440835,-3.6533801494597427,5.36959450899021,23,1.9199770154528513,1.9199770154528513,0.02091278794864917,0.02091278794864917
23,319.1203630342016,141.7574024156914,-3.803452744768426,4.919009342722682,24,1.850307969622232,1.850307969622232,0.020063606826138215,0.020063606826138215
24,315.33074346218757,146.701058745244,-3.9200033432789962,4.922542945686666,25,1.7861146508245453,1.7861146508245453,0.019280683305954317,0.019280683305954317
25,311.1511817527846,151.36036233489995,-4.090315952950196,4.488479402847157,26,1.7267726712304978,1.7267726712304978,0.018556554940268453,0.018556554940268453
26,306.9933729571558,156.08551099698968,-4.017846713088452,4.888886961115632,27,1.6717491176799713,1.6717491176799713,0.01788483926489716,0.01788483926489716
27,302.6605870878214,160.60571999630088,-4.50210702152175,4.14075214277836,28,1.6205863934008184,1.6205863934008184,0.017260045262778752,0.017260045262778752
28,298.2234545000058,164.82861752593882,-4.270384886927422,4.329937567078361,29,1.5728893676308022,1.5728893676308022,0.016677422988928596,0.016677422988928596
29,293.7553100118477,169.2164958177731,-4.464060582383828,4.482314722176592,30,1.5283150692115857,1.5283150692115857,0.01613284263977412,0.01613284263977412
30,289.308736646038,173.79162781861027,-4.325233304135373,4.23883168412786,31,1.4865643553989032,1.4865643553989032,0.015622696553447158,0.015622696553447158
31,284.73993498913944,178.17952169319128,-4.452535357024968,4.27849717649509,32,1.4473751279490192,1.447375127949019,0.015143819223782105,0.015143819223782105
32,280.4584024601638,182.30861212390863,-4.44881259981915,4.1799552191265406,33,1.4105167713147548,1.4105167713147546,0.014693421579982147,0.014693421579982147
33,275.82798472297634,186.39703723916645,-4.765615790269974,3.9743640818080963,34,1.3757855636010767,1.3757855636010765,0.014269036649402156,0.014269036649402156
34,271.09286206713347,190.237153129355,-4.693250481859465,3.8537491392844614,35,1.3430008674237515,1.3430008674237515,0.013868474367860099,0.013868474367860099
35,266.6363881198142,194.0486923145628,-4.615694339129078,3.700196036558845,36,1.3120019503060372,1.3120019503060372,0.013489783789958961,0.013489783789958961
36,262.0704286428357,197.7650059508137,-4.765002725042865,3.572165219805213,37,1.2826453164903424,1.2826453164903424,0.013131221323285135,0.013131221323285135
37,257.3652884277368,201.30658353868688,-4.764708045071486,3.5957075692702083,38,1.2548024567094636,1.2548024567094636,0.01279122389524083,0.01279122389524083
38,252.46470944788447,204.9382312091039,-4.938710410821009,3.531498594376545,39,1.228357941482094,1.228357941482094,0.012468386181483616,0.012468386181483616
39,247.4944935793206,208.25139459842194,-5.02491907322868,3.2131234653067793,40,1.2032077982707483,1.2032077982707483,0.012161441196398205,0.012161441196398205
40,242.53875649095116,211.52005912502992,-4.862792180719931,3.2521066172683817,41,1.1792581243950517,1.1792581243950517,0.01186924368042335,0.01186924368042335
41,237.7045144653498,214.88584924197616,-4.931919452827755,3.2660610338691396,42,1.1564238966901714,1.1564238966901714,0.011590755825089307,0.011590755825089307
42,232.69647845579334,218.03052922279286,-5.1651263448442455,3.1839624473013908,43,1.134627946106592,1.134627946106592,0.011325034960788068,0.011325034960788068
43,227.58804704002623,221.16880925167766,-5.1140647181481595,3.013913104947833,44,1.1138000711900453,1.1138000711900453,0.011071222899497076,0.011071222899497076
44,222.51174352726977,224.171416435702,-5.056781495657538,2.9879305990215212,45,1.0938762689823012,1.0938762689823012,0.010828536678625173,0.010828536678625173
45,217.60847950466038,227.13254564773248,-4.773185947229865,2.798892736990692,46,1.0747980655910094,1.0747980655910094,0.010596260495687772,0.010596260495687772
46,212.68969339610928,229.8898328960486,-5.0194384929247535,2.6389653349023163,47,1.0565119316789369,1.0565119316789369,0.010373738658831688,0.010373738658831688
47,207.6396232577021,232.52770816329107,-4.97047243459483,2.6130250881204717,48,1.0389687705657513,1.0389687705657513,0.010160369407009538,0.010160369407009538
48,202.6379010232398,235.07406321317893,-5.020369901954878,2.574826168261412,49,1.0221234686324203,1.0221234686324203,0.009955599477165412,0.009955599477165412
49,197.5545408701721,237.5627335253098,-5.113992651330416,2.3555652629131703,50,1.0059344993579444,1.0059344993579444,0.009758919315167775,0.009758919315167775
50,192.39407799827887,239.85400461392948,-5.208395889108035,2.4096939458651008,51,0.9903635736701694,0.9903635736701694,0.009569858843223358,0.009569858843223358
51,187.16234327674047,242.24912391485609,-5.238953406246734,2.364267741288456,52,0.9753753304117958,0.9753753304117958,0.009387983709768332,0.009387983709768332
52,181.98630747379775,244.4509892787532,-5.194542257290191,2.1306269184369944,53,0.9609370616530948,0.9609370616530948,0.00921289195887042,0.00921289195887042
53,176.9059363424123,246.54155167931026,-4.944954490680761,2.1148477829468764,54,0.9470184683590146,0.9470184683590146,0.009044211065394932,0.009044211065394932
54,171.97021861738446,248.51451225603734,-4.951766673189067,2.03458533626193,55,0.9335914425682418,0.9335914425682418,0.008881595289915722,0.008881595289915722
55,166.92344696674462,250.47892595776858,-5.183437076860082,1.9473364748955313,56,0.9206298727877638,0.9206298727877638,0.008724723313852186,0.008724723313852186
56,161.85138759423353,252.48208046686784,-5.078313696085891,1.891483800548398,57,0.9081094697667146,0.9081094697667146,0.008573296120798508,0.008573296120798508
57,156.86396034775004,254.1876623617276,-5.0336998077750685,1.7861924590597598,58,0.8960076102024814,0.8960076102024814,0.00842703509465465,0.00842703509465465
58,151.77438007311355,256.0384231274708,-5.1717073842845185,1.7776783271470418,59,0.8843031962621657,0.8843031962621657,0.008285680309111112,0.008285680309111112
59,146.62379283691166,257.6304028209846,-5.15849687631896,1.598196673823527,60,0.8729765290833517,0.8729765290833517,0.008148988986396917,0.008148988986396917
60,141.44444174755156,259.2078652947627,-5.181052962705903,1.5909678243024818,61,0.8620091946577518,0.8620091946577518,0.008016734106067432,0.008016734106067432
61,136.53855305154062,260.75728445361983,-4.826781191530705,1.5922224752765293,62,0.8513839607063046,0.8513839607063046,0.00788870314706387,0.00788870314706387
62,131.52751963434199,262.35015357764917,-5.271642256200545,1.4223292243137686,63,0.8410846833301523,0.8410846833301523,0.007764696948384286,0.007764696948384286
63,126.54384175740209,263.7210419008176,-4.699779371496223,1.4958078623320976,64,0.8310962223731752,0.8310962223731752,0.007644528675520375,0.007644528675520375
64,121.64237726769898,265.09269656321675,-5.1269079773975434,1.3826190816107606,65,0.8214043645621516,0.8214043645621516,0.007528022881380065,0.007528022881380065
65,116.69024883452975,266.4437778868417,-4.819319912636785,1.3496368965881316,66,0.8119957536033101,0.8119957536033101,0.007415014651770083,0.007415014651770083
66,111.79474500609155,267.69084016534094,-5.086071156512779,1.2428770795453823,67,0.8028578265116647,0.8028578265116647,0.007305348826686769,0.007305348826686769
67,106.89146468158476,268.72642145914256,-4.7342347165964505,1.1392439613660306,68,0.7939787555342875,0.7939787555342875,0.007198879289683413,0.007198879289683413
68,102.16535974453024,269.8338398691721,-4.785532010617786,1.1292504313792218,69,0.7853473951024222,0.7853473951024222,0.007095468318470706,0.007095468318470706
69,97.31960592631668,270.90752915392005,-4.938250637765682,0.9982129698124496,70,0.7769532333116554,0.7769532333116554,0.00699498599068193,0.00699498599068193
70,92.51684573754947,271.8729292065405,-4.7088835581091395,1.0281032623608108,71,0.7687863474855523,0.7687863474855523,0.006897309639412214,0.006897309639412214
71,87.65785003547373,272.7761073969515,-5.044060057038401,0.9174849916215528,72,0.7608373634273629,0.7608373634273629,0.006802323353734917,0.006802323353734917
72,82.7191754941558,273.63313267054156,-4.879565552637531,0.9155314694201374,73,0.75309741800756,0.75309741800756,0.00670991751991936,0.00670991751991936
73,77.85765925999357,274.4389319821701,-4.872680507476183,0.8235805986030074,74,0.745558124772901,0.745558124772901,0.006619988399532434,0.006619988399532434
74,72.95821747411154,275.31181123545855,-4.922745768759566,0.7823282706496149,75,0.7382115422960961,0.7382115422960961,0.006532437741010401,0.006532437741010401
75,68.07540374786906,275.91872256727333,-4.921548169284681,0.7017916055971648,76,0.7310501450146283,0.7310501450146283,0.006447172421643563,0.006447172421643563
76,63.21199342255841,276.55420071728906,-4.850075113722129,0.6659277434578721,77,0.7240667963332903,0.7240667963332903,0.0063641041172315255,0.0063641041172315255
77,58.31907305744441,277.21215562201,-4.944688248008135,0.6212561570182136,78,0.7172547237880413,0.7172547237880413,0.006283148996945764,0.006283148996945764
78,53.43693256464333,277.81302032926516,-4.845588682550074,0.5701840841300538,79,0.7106074960892075,0.7106074960892075,0.0062042274411836795,0.0062042274411836795
79,48.579955183912325,278.35396454634224,-4.909148794687446,0.527789084888988,80,0.704119001880178,0.704119001880178,0.006127263780418154,0.006127263780418154
80,43.63221925485449,278.76348284040705,-5.018312770957949,0.48607884912112753,81,0.6977834300638756,0.6977834300638756,0.006052186053242228,0.006052186053242228
81,38.70243426368921,279.1688210106907,-4.8556203575408805,0.40376938800576806,82,0.6915952515636402,0.6915952515636402,0.005978925781982824,0.005978925781982824
82,33.89455857043058,279.4304184796881,-4.781044164720492,0.3473445351938544,83,0.6855492023979728,0.6855492023979728,0.005907417764412985,0.005907417764412985
83,29.090470406729672,279.811994248553,-4.870699086547111,0.30848088248570715,84,0.679640267960028,0.679640267960028,0.005837599880231083,0.005837599880231083
84,24.252686088908824,280.21141002193417,-4.814442766145439,0.27260858243335534,85,0.67386366840298,0.67386366840298,0.005769412911099879,0.005769412911099879
85,19.44999402758435,280.3898406864338,-4.808541349536535,0.2172614450754377,86,0.6682148450415493,0.6682148450415493,0.0057028003731497585,0.0057028003731497585
86,14.73451682553965,280.48062711408625,-4.620919951981014,0.16025309729290285,87,0.6626894476882039,0.6626894476882039,0.005637708360950494,0.005637708360950494
87,9.96401629158532,280.6090553443298,-4.921538994699088,0.12003385730645771,88,0.6572833228499292,0.6572833228499292,0.005574085402045782,0.005574085402045782
88,5.156794609690443,280.7098291486775,-4.689771684758894,0.06671023889390343,89,0.6519925027180999,0.6519925027180999,0.005511882321225595,0.005511882321225595
89,0.0635855763085063,280.7346951943342,-5.487304076651976,-0.005245985962991683,90,0.6468131948899692,0.6468131948899692,0.00545105211378425,0.00545105211378425
90,-4.853357347478335,280.7830231361821,-4.349400040238059,-0.004616432512122408,91,0.6417417727656713,0.6417417727656713,0.005391549827077746,0.005391549827077746
91,-9.548691505528824,280.7228271077262,-5.042874610683204,-0.07389235350380938,92,0.6367747665695048,0.6367747665695048,0.005333332449753183,0.005333332449753183
92,-14.55037228935409,280.62507096475804,-4.965711483843932,-0.13175837771818727,93,0.6319088549486515,0.6319088549486515,0.005276358808076699,0.005276358808076699
93,-19.4318878828571,280.5130859441815,-4.793343175482802,-0.17525447625470283,94,0.6271408571064625,0.6271408571064625,0.005220589468834826,0.005220589468834826
94,-24.347719707068265,280.2570345594012,-5.048597137508596,-0.23000443713466634,95,0.622467725431043,0.622467725431043,0.005165986648328094,0.005165986648328094
95,-29.36931805822805,279.9238340829855,-5.004609745081797,-0.276952766858977,96,0.6178865385831269,0.6178865385831269,0.005112514127015566,0.005112514127015566
96,-34.341747071186035,279.60219596019454,-4.956325224719455,-0.3203135824463901,97,0.6133944950101977,0.6133944950101977,0.005060137169405119,0.005060137169405119
97,-39.25787025317654,279.25202269665454,-4.892446187037026,-0.3903504365542287,98,0.6089889068564966,0.6089889068564966,0.005008822448817182,0.005008822448817182
98,-44.11120562430939,278.77534413196787,-4.817637404487506,-0.4374413153706844,99,0.6046671942410096,0.6046671942410096,0.004958537976679505,0.004958537976679505
