,Px,Py,Vx,Vy,t,p1,p2,p3,p4
0,368.18931566716645,6.5966106132139,-0.0990697000865573,6.361599147637872,1,10.0,10.0,10.0,10.0
1,368.19432026311443,12.936101840513654,-0.26307938008431886,6.390126223704384,2,6.763289782582247,6.763289782582247,0.056319298606462086,0.056319298606462086
2,369.0321067673544,19.380382505969656,-0.2697634102210738,6.387301204461157,3,5.98362034741593,5.98362034741593,0.05260831003900582,0.05260831003900582
3,368.4021397638563,25.75321158325881,-0.2984677611203243,6.384852707895067,4,5.371647587558414,5.371647587558414,0.049355518289839466,0.049355518289839466
4,368.26685757172316,32.13176949581106,-0.33135718347097987,6.384125303980371,5,4.878706177061144,4.878706177061144,0.04648110437784629,0.046481104377846284
5,368.1299270527077,38.58694071546303,-0.3728154176489154,6.398529426702637,6,4.473268786985032,4.473268786985032,0.04392274592693234,0.043922745926932336
6,367.7480379594008,44.969390309780586,-0.41599250965389317,6.3658039352137195,7,4.134017802824057,4.134017802824057,0.041631079534976904,0.0416310795349769
7,367.0278670047247,51.30718571582249,-0.47082636287831414,6.359560458314027,8,3.846025522677811,3.846025522677811,0.03956650314620568,0.039566503146205675
8,365.98839475087294,57.6111759280579,-0.5302975421310496,6.346138148632533,9,3.5985292032319807,3.5985292032319807,0.03769687937941729,0.037696879379417285
9,364.4535600418258,63.96701335325229,-0.5995238749008496,6.337616102292106,10,3.383574796997662,3.383574796997662,0.03599585741335853,0.03599585741335852
10,363.305402153799,70.3288910598428,-0.6624228287586348,6.338019412780422,11,3.1951579660042166,3.1951579660042166,0.034441627668183546,0.03444162766818354
11,362.1438385817156,76.64906024014402,-0.7311277410100898,6.31490174485774,12,3.0286619710419433,3.0286619710419433,0.03301598456236541,0.0330159845623654
12,360.7384876056757,82.81167996940894,-0.8001865994254124,6.301405230113469,13,2.8804792935475656,2.8804792935475656,0.0317036120277726,0.031703612027772596
13,359.4905188297814,89.08385438433645,-0.8638545157420858,6.2879859579550725,14,2.7477505729883362,2.7477505729883362,0.030491532414644106,0.0304915324146441
14,357.7521755838235,95.29395149812174,-0.9336161763839447,6.270198626834729,15,2.62818052772609,2.62818052772609,0.029368676823119406,0.0293686768231194
15,356.1064890999578,101.35707403124916,-1.0013075325285279,6.239476704162978,16,2.5199056279767857,2.5199056279767857,0.02832554677056983,0.028325546770569823
16,354.3669128828421,107.46971693278205,-1.0772764816236913,6.218190148986648,17,2.4213973149869026,2.4213973149869026,0.027353945329541447,0.02735394532954144
17,352.419325163237,113.49046526861544,-1.145604632631427,6.19618153186005,18,2.3313901100952625,2.3313901100952625,0.02644676165231215,0.026446761652312148
18,350.4550897295334,119.49884032366576,-1.2182721743575353,6.176771711740018,19,2.2488274571505067,2.2488274571505067,0.025597796915616217,0.025597796915616214
19,348.4249496272486,125.35211767935073,-1.292163565246444,6.142624204302292,20,2.172820399739115,2.172820399739115,0.024801622688129958,0.024801622688129955
